trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
43,False,"{'a': 0.5, 'e': 0.42805066795449304}",30,0,32.489339777959025,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.41948965459540316}",30,13,28.095482166010846,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.4110998615034951}",25,11,19.524085948672077,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.4028778642734252}",20,0,16.08140727733307,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.39482030698795667}",25,0,13.36344736527782,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.38692390084819756}",20,12,14.577712841402136,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.3791854228312336}",25,0,40.159492401342426,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.37160171437460887}",20,0,21.316074557551865,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.3641696800871167}",20,0,29.808804523330256,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.35688628648537435}",25,11,22.245687013535623,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.34974856075566685}",25,0,42.60691659213047,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.3427535895405535}",20,7,9.826424276331828,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.33589851774974244}",25,18,-29.053022057413187,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
56,False,"{'a': 0.5, 'e': 0.3291805473947476}",25,0,-4.1204745400263905,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.32259693644685267}",25,0,29.971009855524642,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.3161449977179156}",30,0,46.016961160788526,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.3098220977635573}",20,14,9.096154747627194,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.30362565580828615}",30,16,19.78509067974556,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
