trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,1,-12.934213476856128,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.98}",30,13,-29.65081877882552,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.9603999999999999}",35,24,-8.270070707592048,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.9411919999999999}",25,0,17.404611981744214,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9223681599999999}",20,0,-38.5884050477735,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9039207967999998}",20,2,-114.23567500685914,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 3}",1
7,False,"{'a': 0.5, 'e': 0.8858423808639998}",20,0,-9.306437262911528,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.8681255332467198}",25,0,-14.202240849372783,"{0: 21, 1: 2, 2: 1, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.8507630225817854}",20,0,-2.345341936116493,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.8337477621301497}",20,12,12.513392211052,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.8170728068875467}",30,0,17.447160355458628,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8007313507497957}",20,0,-39.30540105092849,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.7847167237347998}",20,2,-52.371777258003,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.7690223892601038}",20,0,-6.587710482257625,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.7536419414749017}",25,12,10.846477971133687,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.7385691026454037}",20,3,9.86431902859538,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.7237977205924956}",30,24,11.548813340347952,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.7093217661806457}",25,10,0.617133236300218,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.6951353308570327}",30,0,-26.422195484720472,"{0: 26, 1: 0, 2: 2, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.6812326242398921}",20,8,14.407747227910015,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.6676079717550942}",20,6,22.891388227423562,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.6542558123199923}",25,6,1.6404914833565072,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.6411706960735924}",20,6,-16.275116070847044,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
24,False,"{'a': 0.5, 'e': 0.6283472821521205}",25,10,25.530066438709998,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.6157803365090782}",35,13,30.564342128223487,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.6034647297788965}",25,0,9.96631676236183,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.5913954351833186}",20,2,-3.450745458755258,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.5795675264796523}",30,4,7.002073446873075,"{0: 24, 1: 0, 2: 1, 3: 1, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.5679761759500592}",20,0,8.993130464883649,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.5566166524310581}",25,0,4.202100823473414,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.5454843193824369}",20,15,10.128503037239398,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.5345746329947881}",25,12,-24.769549905934024,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.5238831403348924}",25,0,25.00049883105523,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.5134054775281945}",30,0,-34.134801547997064,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.5031373679776306}",25,17,-27.726810676060378,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
36,False,"{'a': 0.5, 'e': 0.493074620618078}",25,11,-13.389011292428359,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.48321312820571644}",20,0,24.886852800852513,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.4735488656416021}",25,0,11.802154386845428,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.46407788832877006}",20,13,4.922561628134902,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.45479633056219465}",30,5,19.944472848612214,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.44570040395095073}",20,1,25.951448165615773,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.4367863958719317}",20,0,24.161151978572125,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.42805066795449304}",25,15,13.94307717352441,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.41948965459540316}",20,11,12.399863091826811,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.4110998615034951}",25,19,11.71348084846512,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
