trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
261,False,"{'a': 0.5, 'e': 0.2725317930340126}",30,0,42.886240916810934,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
262,False,"{'a': 0.5, 'e': 0.2711725350455999}",20,0,26.688522343459255,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
263,False,"{'a': 0.5, 'e': 0.2698200563846868}",25,5,31.3917948222062,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
264,False,"{'a': 0.5, 'e': 0.2684743232392366}",20,0,23.941435262228307,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
265,False,"{'a': 0.5, 'e': 0.26713530196585034}",20,0,25.669132840007727,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
266,False,"{'a': 0.5, 'e': 0.2658029590889266}",30,5,37.71861818446932,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
267,False,"{'a': 0.5, 'e': 0.26447726129982396}",25,0,33.66993045510664,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
268,False,"{'a': 0.5, 'e': 0.2631581754560287}",20,0,23.918567086368153,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
269,False,"{'a': 0.5, 'e': 0.261845668580326}",20,13,9.774363199939476,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
270,False,"{'a': 0.5, 'e': 0.2605397078599756}",30,13,30.87414549232368,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
271,False,"{'a': 0.5, 'e': 0.2592402606458915}",30,16,20.172525102451807,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
272,False,"{'a': 0.5, 'e': 0.2579472944518257}",20,15,9.302810437277437,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
273,False,"{'a': 0.5, 'e': 0.2566607769535559}",25,18,11.462127727728676,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
274,False,"{'a': 0.5, 'e': 0.2553806759880777}",20,0,31.84513250974287,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
275,False,"{'a': 0.5, 'e': 0.25410695955280027}",25,15,17.965855893476707,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
276,False,"{'a': 0.5, 'e': 0.25283959580474646}",20,0,27.56346985474903,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
277,False,"{'a': 0.5, 'e': 0.25157855305975646}",20,0,32.10273778952339,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
278,False,"{'a': 0.5, 'e': 0.2503237997916961}",20,6,20.507863016691115,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
279,False,"{'a': 0.5, 'e': 0.24907530463166816}",25,18,12.878378695930103,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
280,False,"{'a': 0.5, 'e': 0.24783303636722875}",25,18,15.036762635343242,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
281,False,"{'a': 0.5, 'e': 0.24659696394160643}",30,9,36.26019412048673,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
282,False,"{'a': 0.5, 'e': 0.24536705645292634}",25,6,24.792376215074544,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
283,False,"{'a': 0.5, 'e': 0.2441432831534371}",20,0,23.809773677898853,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
284,False,"{'a': 0.5, 'e': 0.24292561344874244}",20,3,23.195344319070177,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
285,False,"{'a': 0.5, 'e': 0.24171401689703645}",30,16,19.58537535506839,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
