trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-111.66125899274007,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.98}",20,0,-76.72784510753787,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9603999999999999}",20,0,-69.23361366226194,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9411919999999999}",30,0,-141.69468118486594,"{0: 21, 1: 2, 2: 3, 3: 2, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9223681599999999}",35,0,26.939774896858033,"{0: 34, 1: 1, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9039207967999998}",25,0,-63.59678647501221,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.8858423808639998}",30,0,-53.28790461772107,"{0: 27, 1: 0, 2: 0, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.8681255332467198}",35,0,18.993770267319285,"{0: 33, 1: 0, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.8507630225817854}",20,0,-8.857666855699705,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.8337477621301497}",20,0,-19.235058440255774,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8170728068875467}",25,0,28.635317627585128,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.8007313507497957}",20,0,9.261448492385576,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.7847167237347998}",25,0,-10.642642409937055,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.7690223892601038}",25,4,7.233733878736578,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.7536419414749017}",20,0,-1.3050226762919563,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.7385691026454037}",20,0,13.737554509071577,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.7237977205924956}",25,5,24.530017196604017,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.7093217661806457}",30,0,29.60075302580584,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.6951353308570327}",20,12,14.617699880735508,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.6812326242398921}",20,9,-9.163061127731629,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.6676079717550942}",30,0,26.590007259617504,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.6542558123199923}",30,0,31.83889247306064,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.6411706960735924}",25,5,22.26474746716476,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.6283472821521205}",30,10,35.36180063085551,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.6157803365090782}",25,0,2.056378529843493,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.6034647297788965}",20,13,11.91332215454427,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.5913954351833186}",20,0,9.432604600734408,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.5795675264796523}",20,9,18.84394467143337,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.5679761759500592}",25,0,27.161607204942705,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.5566166524310581}",25,0,-46.17275282660284,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.5454843193824369}",25,8,30.162694906757523,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.5345746329947881}",25,0,31.705138781672364,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.5238831403348924}",20,0,17.023094182863876,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.5134054775281945}",20,0,24.456140142243434,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.5031373679776306}",30,0,23.248504995598772,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.493074620618078}",30,11,12.798489987357609,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.5, 'e': 0.48321312820571644}",25,3,20.334288843350496,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.4735488656416021}",25,0,38.60123698694997,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.46407788832877006}",25,12,17.48131724933399,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.45479633056219465}",30,1,19.41737226343628,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.44570040395095073}",20,9,21.52596096545267,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.4367863958719317}",35,21,14.852279220511509,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.42805066795449304}",30,0,-6.577707419535269,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.41948965459540316}",20,4,-26.518158356528044,"{0: 13, 1: 1, 2: 0, 3: 2, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.4110998615034951}",25,13,11.548426783365866,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.4028778642734252}",30,20,18.152729328028286,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.39482030698795667}",20,11,14.439837450103429,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.38692390084819756}",20,6,21.26417609367723,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.3791854228312336}",20,7,21.712351848618084,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.37160171437460887}",20,0,28.60007159333124,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.3641696800871167}",25,0,31.93186417387845,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.35688628648537435}",35,0,41.92343669070771,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.34974856075566685}",20,0,25.195466816992578,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.3427535895405535}",25,8,16.990955109573985,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.33589851774974244}",25,0,34.849380367622175,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.3291805473947476}",20,5,24.278501030082797,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.32259693644685267}",25,2,34.478981440595255,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.3161449977179156}",20,6,26.682361128955787,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.5, 'e': 0.3098220977635573}",25,11,22.108577479385755,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.5, 'e': 0.30362565580828615}",25,0,37.86339160261691,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.2975531426921204}",30,0,35.07437006716193,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.291602079838278}",20,0,32.26436600145274,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.2857700382415124}",20,12,13.835712359602473,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.2800546374766822}",20,16,8.293083530588301,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.27445354472714856}",20,0,31.224580155971623,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.2689644738326056}",20,0,27.21745933559631,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.26358518435595346}",20,0,28.57035251897653,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.25831348066883436}",25,0,31.2377830121464,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.2531472110554577}",20,0,22.57931735950034,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.24808426683434853}",25,0,28.075689957630846,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.24312258149766156}",30,17,23.506541974313834,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.2382601298677083}",30,0,26.64589213150586,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
73,False,"{'a': 0.5, 'e': 0.23349492727035415}",30,19,7.0088418590573225,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.22882502872494706}",20,0,25.289266468562996,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.22424852815044813}",30,13,32.64399453130458,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.21976355758743915}",30,17,23.636518714966243,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.21536828643569036}",20,3,21.390238530439156,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.21106092070697655}",20,6,18.966562545626008,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.20683970229283702}",25,11,21.75238365174966,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.20270290824698028}",20,3,25.03254645040506,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.19864885008204067}",25,13,19.490656181978743,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.5, 'e': 0.19467587308039985}",25,18,11.07653484090088,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.19078235561879187}",25,12,25.488974679244567,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.18696670850641603}",25,0,32.87639933255278,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.18322737433628772}",25,3,35.79951148957164,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.17956282684956196}",30,16,23.96473653878161,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.1759715703125707}",30,7,31.959486305690646,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.1724521389063193}",20,13,10.307086241848026,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
