trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-27.10823494914785,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.951229424500714}",20,4,14.822825711617536,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.9048374180359595}",25,0,-34.74538387722958,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.8607079764250578}",20,0,-47.62575296462458,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.8187307530779818}",20,0,3.8555532087489883,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.7788007830714049}",20,0,1.6623115941224986,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.7408182206817179}",20,0,20.879417591812302,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.7046880897187134}",25,0,-69.14017106727704,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.6703200460356393}",30,0,20.1628928493898,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.6376281516217733}",20,0,-21.90266066542598,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.6065306597126334}",20,0,2.601245183917918,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.5769498103804866}",20,0,25.75260335590561,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.5488116360940264}",20,0,22.44149443404619,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.522045776761016}",20,1,19.79464802391649,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.49658530379140947}",25,0,6.734584869731784,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.4723665527410147}",20,0,-15.951247697412498,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.44932896411722156}",20,0,6.095851109473041,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.42741493194872665}",35,12,4.989993030685729,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.4065696597405991}",20,0,15.987194728312428,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.3867410234545012}",20,12,15.241800089961952,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.36787944117144233}",25,0,-52.774763436509325,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.3499377491111553}",25,0,-14.367649713504026,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.33287108369807955}",20,12,12.763213490808205,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.31663676937905316}",20,0,28.931314795963612,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.301194211912202}",20,0,-15.594723858812607,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
26,False,"{'a': 0.5, 'e': 0.2865047968601901}",25,0,29.813661372257435,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.2725317930340126}",20,0,28.221220258437054,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.2592402606458915}",25,0,21.517706078730015,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.24659696394160643}",20,0,26.32891993732674,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.23457028809379762}",25,0,42.06078610406624,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.22313016014842982}",30,0,21.087036196741302,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.21224797382674304}",20,0,24.83700475637526,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.20189651799465538}",20,0,26.41476873184906,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.19204990862075408}",25,14,11.042282195872515,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.5, 'e': 0.1826835240527346}",35,0,5.97679689383766,"{0: 33, 1: 0, 2: 0, 3: 2, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.17377394345044514}",25,0,37.51053243075672,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.16529888822158653}",20,0,25.59824254006059,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.1572371663136276}",30,0,40.67822739204898,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.14956861922263504}",20,2,29.994845381458042,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.14227407158651353}",20,1,25.63641112889795,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.5, 'e': 0.1353352832366127}",25,0,5.616408139145526,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.12873490358780418}",20,9,5.09101907494729,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.1224564282529819}",25,1,31.308252010451316,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.11648415777349697}",20,0,25.436552652897568,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.11080315836233387}",25,0,35.60548889308974,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.10539922456186433}",30,22,18.245967811328175,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.1002588437228037}",20,7,21.50747333513978,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.09536916221554961}",20,9,19.655896695806003,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.09071795328941247}",30,1,42.54410687210183,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.5, 'e': 0.0862935864993705}",25,0,32.875855454235335,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
